id,height,weight,bmi-gt,class-gt,CJWR,WHR,PAR,ES,FWR,MEH,CFR,CFR-HZJ,CFR-NSJ,CFR-FHH,CFR-FHN
293929.jpg,1.6,65.77,25.69,c,1.2504413526939848,1.4816541327422417,0.023715453699360015,37.0,1.2364003457738724,30.623272048271577,0.4061907532896589,0.0024617169309689873,0.0023750190502737226,0.4210183722361966,0.39188534025650207
293964.jpg,1.52,63.5,27.48,c,1.243904054699275,1.8696289786248357,0.024013355098861402,37.5,1.407925752011377,29.032170069158084,0.37672914090000953,0.0024784275543816244,0.0026527590137307142,0.3519716184215299,0.403228096173614
293983.jpg,1.88,119.75,33.88,d,1.1016242317701943,1.4562198724692421,0.018418367685105748,39.00684899377592,1.1546163715019373,31.199653249495555,0.5038717789032114,0.002433453394503148,0.002228975707658197,0.5500950443531633,0.46153255184042424
293985.jpg,1.78,81.65,25.77,c,1.1251296102583006,1.8946280333129732,0.020201889919206246,40.511516867638576,1.380773486262208,31.515547346952157,0.4353639599279913,0.002473299583791304,0.0024458263465363694,0.44025427333077555,0.4305279677814132
294009.jpg,1.7,63.5,21.97,b,1.211853671458871,1.5258163088084704,0.024512003378892568,35.01313901128751,1.4257313400548501,24.61978667469836,0.4178884187739841,0.002822539708860446,0.00256373263051524,0.46007397254425264,0.3795709841608648
294028.jpg,1.7,63.5,21.97,b,1.1728575140772854,1.574757633407265,0.025803548962145643,34.51372327444264,1.4000844765937142,24.45671907480636,0.43028423090461104,0.0030722050867219674,0.0028113546214375055,0.4702079890033471,0.39375026306465993
294039.jpg,1.68,72.57,25.71,c,1.2972463944225068,1.63565781761699,0.027325783934003,34.502192940272046,1.316777031187771,20.659358346965575,0.4037864148912751,0.0028429319156987936,0.002883894417866719,0.39805107943901613,0.40960438816176653
294074.jpg,1.75,72.57,23.7,b,1.2127507701820779,1.5169443120795845,0.02228571523722403,38.540406303415985,1.2841296724248852,30.79750796224448,0.39596205871547374,0.002341946010331592,0.0022370380759847526,0.4145310594425966,0.37822486004551764
294078.jpg,1.85,104.33,30.48,d,1.2029215236744215,1.5538763414492511,0.02042665942221967,41.4976380048412,1.327860271027395,27.61157099099692,0.46103282470329915,0.002519267439947056,0.002340237995183847,0.496302079708178,0.42826994716379496
294114.jpg,1.73,81.65,27.28,c,1.248587574892156,1.4416406951443406,0.023973075477161855,37.507575322837,1.4117046156467348,26.5563550932755,0.39917291387352005,0.0026087504184150153,0.00230731933743482,0.45132136206391216,0.3530500183762905
294153.jpg,1.78,117.93,37.22,d,1.1861209842102425,1.6382746535268353,0.02434407972078246,33.50217387195027,1.2114734068587778,27.36653752256048,0.39677471505941314,0.002541548511758168,0.0025579211441708457,0.39423505640921713,0.3993307341675508
294177.jpg,1.7,65.77,22.76,b,1.2343241498720905,1.7497643640982214,0.022340367488408466,36.99839709839654,1.2342234142091213,21.671618572547967,0.405713808370228,0.0023180240366654516,0.0024889949293760514,0.3778450284127438,0.43563811066601404
294210.jpg,1.83,68.95,20.59,b,1.174228044576841,1.7291067919891419,0.02427799457185512,36.00199996800102,1.2500400618143626,26.661204831994084,0.39080689283360953,0.0025051209210408313,0.0025542934172131343,0.3832835009192472,0.39847795983902423
294211.jpg,1.73,87.09,29.1,c,1.1580084656674048,1.6658779130351806,0.022167628162997693,40.99934349554229,1.4216155005134667,33.75316400242385,0.4114210699048244,0.002586735473448953,0.0024344442006202626,0.437158295012873,0.38719909628306604
294215.jpg,1.68,54.43,19.29,b,1.3013198668553478,1.5696768322426808,0.0264839199128689,33.003703521928436,1.3193902919631169,29.446421609870004,0.37933510946368587,0.002634017553129467,0.0026161042031978337,0.3819325452037727,0.376755338289001
294240.jpg,1.65,61.23,22.49,b,1.2317121881451967,1.5889277384527878,0.027657322215419073,32.51456284929917,1.2660092244155305,22.753732412341492,0.3887416543499312,0.00279410069602472,0.0027966301774051275,0.3883900473393185,0.3890935796681081
294257.jpg,1.73,70.31,23.49,b,1.2761346358114525,1.4991477699293678,0.021518537733277818,39.49609398838948,1.2857274600631263,26.337402753887435,0.3881007351600948,0.0021321319845684734,0.002031941021780601,0.40723720905257843,0.3698635028518703
294258.jpg,1.63,92.99,35.0,d,1.231631719819379,1.7018715668315956,0.024894948223438143,36.49545492104987,1.5571195178265174,28.242344451020333,0.4318796753143403,0.003084776131408916,0.002999092096705982,0.44421847382198537,0.419883604445423
294267.jpg,1.65,63.96,23.49,b,1.2857658787103705,1.5833780874448318,0.02878785939019696,28.504315177527275,1.2301726337901773,19.880639027801923,0.33720485351989504,0.002425683118063051,0.0024794474523521693,0.32989290405657495,0.34467886953359167
294278.jpg,1.75,84.37,27.55,c,1.120109594555796,1.6101513227775999,0.021740017281660754,30.99603199595327,1.2455837528161382,28.026453321004592,0.43814954622118707,0.0025621028136323712,0.002433563340000609,0.4612923636352811,0.41616779289590927
294283.jpg,1.65,54.43,19.99,b,1.223336820064924,1.611463690751013,0.025089401527986673,39.001893912220424,1.3717197102555791,29.000486097208782,0.38637307852098046,0.002609675950722986,0.0024925220534494,0.4045334441986618,0.3690279702374075
294318.jpg,1.98,86.18,21.98,b,1.2108211224598564,1.4963736568246415,0.01997935624008631,42.50164471904539,1.2819077945464934,34.62440488825819,0.41043007567392886,0.0021831078168999263,0.002083401399360045,0.4300722399292855,0.3916850040016645
294369.jpg,1.8,74.84,23.1,b,1.1612252454401786,1.4389325119869634,0.027181242691249233,29.502336397581743,1.336007152944615,19.526563553751714,0.45560922172982127,0.003399217038949962,0.002958251977225927,0.5235235678128516,0.3965050967857453
294376.jpg,1.75,58.97,19.26,b,1.2347865428071232,1.6050909012359071,0.023343087276496335,39.501811570421836,1.4675380032195966,31.907675287838668,0.4588205977109699,0.00297910330966775,0.002763979504282951,0.4945311494048465,0.42568873798384954
294400.jpg,1.75,68.04,22.22,b,1.1879609348833098,1.7572815533980584,0.02527732913466666,36.00203248673982,1.5693286169894631,26.616155955305,0.44630844785605217,0.0032573788132408596,0.0030568354750971738,0.47558846200922955,0.41883108304636046
294418.jpg,1.78,90.72,28.63,c,1.1985690327980285,1.6194666605882106,0.017895824186818936,43.0,1.3334459989386191,34.07913620362065,0.4351213377527204,0.002100834585960347,0.00204262059125119,0.44752214843791094,0.42306415275440745
294420.jpg,1.88,77.11,21.82,b,1.210799629062185,1.5936187027502482,0.020356702093614752,40.027445448889665,1.3723127592626576,32.41016021793821,0.4325502343814249,0.002402723169294487,0.002324699101166062,0.44706795365933666,0.4185039516520448
294433.jpg,1.78,82.55,26.05,c,1.2255792955437146,1.5767488017226543,0.02443427246896442,36.50190836914601,1.305149355360389,24.1373345293199,0.38086412371955836,0.00247293512359137,0.0024104841498832257,0.39073157519312973,0.37124586275109306
294438.jpg,1.7,70.31,24.33,b,1.2247162922488724,1.6094854384407224,0.023166874133144565,39.501785691509326,1.262160182836373,28.012316811693662,0.37628092750899134,0.0022942253060473507,0.0022804904697514626,0.37854717549781286,0.3740282468646893
